# DM      Sigma      Time (s)     Sample    Downfact
467.790937   15.542143   881.492091   21520803   64
304.266995   24.258683   884.081869   21584030   64
400.738149   57.895845   886.019400   21631333   32
606.929770   13.423847   887.753646   21673673   64
684.393321   115.809804   890.130104   21731692   16
723.036834   29.230360   892.212634   21782535   64
557.283274   43.094632   893.855867   21822653   128
474.614451   34.834963   896.260628   21881363   32
710.664865   48.242679   898.079089   21925759   64
376.832874   14.380898   899.732767   21966132   128
390.142996   31.654368   902.595543   22036024   64
306.063161   53.573051   904.554291   22083845   32
391.826479   18.803613   906.624041   22134376   128
462.401817   32.982013   908.310118   22175540   32
472.735260   19.555460   910.189404   22221421   64
470.135675   19.078417   912.103055   22268141   64
676.970703   73.810058   914.791260   22333771   32
303.561102   50.692326   916.780646   22382340   32
471.799950   86.006630   918.431826   22422652   32
622.441991   44.649363   920.961393   22484409   32
553.751077   36.863861   923.007590   22534365   64
434.248605   33.462020   924.951593   22581826   64
567.167401   45.276417   926.564557   22621205   16
695.141448   36.664386   928.483860   22668063   32
673.254262   18.224691   931.167601   22733584   64
295.261245   80.875795   933.247795   22784370   8
701.676058   16.560961   934.739026   22820777   128
743.941962   29.271095   937.230418   22881602   128
483.080004   23.342634   939.493949   22936864   64
655.235126   14.597439   940.803318   22968831   64
720.943268   13.591941   943.321211   23030303   128
411.725336   72.274119   944.883057   23068434   16
378.200361   15.000314   947.026002   23120752   64
731.504518   14.389213   949.366784   23177900   64
279.443922   13.479774   951.798948   23237279   64
450.512803   19.129513   953.782108   23285696   64
596.275663   17.076406   955.816673   23335368   64
383.523401   25.903285   957.419684   23374504   32
552.099205   106.682573   959.340626   23421402   16
336.977145   27.143701   961.772421   23480772   64
578.239943   41.500991   963.432530   23521302   32
590.631911   57.921091   965.779292   23578596   32
456.564935   36.625905   967.626834   23623702   32
688.700267   54.592837   969.626747   23672528   16
290.919171   36.845639   972.357673   23739201   32
696.698836   27.231809   973.949010   23778052   64
666.165140   39.449388   976.194765   23832880   64
275.274839   9.561683   978.445844   23887838   64
497.025888   48.121826   980.482089   23937551   32
630.413866   55.994085   982.212485   23979797   32
426.428589   57.897932   984.341340   24031771   32
430.895901   22.655817   985.927557   24070497   128
742.832031   4.102490   987.784151   24115824   2
366.581887   18.443666   990.226063   24175441   64
359.353637   32.634236   992.591831   24233199   64
557.933588   21.601885   994.146509   24271155   64
296.836588   33.700374   996.831027   24336695   32
591.175284   17.277737   998.837494   24385681   64
270.055796   33.271925   1000.687698   24430852   32
746.261144   17.805652   1002.362388   24471738   64
459.702727   22.878413   1004.760228   24530279   64
355.919286   47.960296   1006.515487   24573132   64
684.271078   49.968926   1008.448225   24620318   16
721.025920   22.986461   1011.002819   24682686   64
563.822291   16.934453   1012.549140   24720438   128
529.221246   26.147118   1014.466028   24767237   32
694.254811   16.789132   1016.428216   24815142   128
302.335667   13.036493   1018.846781   24874189   64
298.271932   64.821868   1021.486572   24938637   32
475.743514   56.488325   1023.148728   24979217   32
